FD,FDH,PH,JJS,JCX,JYJ,JYC,JYK,HQSX,SJC,HXC,SHS,HYC,MC,,,,
67,30,65,50,0.6,50,22.7,0.8,23,0,20,47,0.3,4.8,,,,
65,28,58,50,0.6,68,22.3,1.2,0,0,16.3,63,0.25,2.7,,,,
67,30,61,50,0.5,57,16.7,0.8,0,1,22,37,0.32,5.5,,,,
72,35,61,35,0.47,63,17.5,0.6,25,0.3,19.7,28,0.31,5.7,,,,
79,42,75,60,0.47,72,19.8,0.9,28,5.8,19,37,0.32,5.7,,,,
80,43,65,55,0.47,70,20,0.7,0,6,15.7,23,0.33,3.5,,,,
75,38,65,50,0.53,67,20.3,0.9,20,1,18.3,42,0.3,4,,,,
80,43,62,50,0.33,60,18.3,0.9,35,3,17.7,28,0.24,3.3,,,,
67,30,77,50,0.5,60,17.8,0.9,22,8,17.7,47,0.3,2.7,,,,
65,28,77,55,0.5,62,22,0.9,30,5.5,19.7,50,0.3,3.2,,,,
66,29,73,50,0.53,63,21.7,1.1,37,4.2,23.3,56,0.28,6,,,,
82,45,79,50,0.43,63,16.3,0.8,28,7.5,22.7,30,0.37,5.2,,,,
74,37,65,40,0.47,63,16.3,0.8,28,4,19,24,0.35,5.8,,,,
79,42,55,50,0.47,23,14.3,0.6,0,0,13.7,19,0.3,2.2,,,,
73,36,73,50,0.5,67,22.2,0.8,25,2,23.5,38,0.32,5.3,,,,
66,29,80,40,0.5,65,25.7,1,30,2.7,24.3,58,0.3,3,,,,
86,49,64,50,0.5,53,22.7,0.9,25,3.5,22,30,0.3,6.3,,,,
72,35,66,55,0.43,60,19.3,1,0,1.3,19.3,24,0.32,4,,,,
71,34,68,50,0.43,105,26.7,1,0,4.8,19.3,42,0.28,3.7,,,,
67,30,65,50,0.47,60,27.5,1.1,0,3.5,20.3,50,0.32,4.3,,,,
70,33,58,45,0.53,78,16.7,0.8,10,0,18.8,32,0.31,1.7,,,,
67,30,56,30,0.57,60,17,0.8,0,0,16.7,26,0.23,4.8,,,,
77,40,71,45,0.57,52,18.7,0.8,0,2.7,19,27,0.4,5.3,,,,
75,38,65,40,0.6,77,21.2,0.9,23,6.2,19.3,46,0.27,2.2,,,,
73,36,64,40,0.47,68,22.3,0.9,20,1,18.3,43,0.27,4.3,,,,
67,30,80,40,0.4,72,21.5,0.9,0,2.7,20.3,28,0.33,6.5,,,,
67,30,69,70,0.5,57,23.7,1.1,30,3.7,16,37,0.25,2.5,,,,
65,28,59,45,0.5,68,21,0.9,0,0,19.7,41,0.27,5.2,,,,
65,28,75,60,0.53,60,27.3,0.9,30,3.8,21.5,51,0.32,5.5,,,,
64,27,74,45,0.47,57,23.7,1,20,1.5,20.7,49,0.28,4.8,,,,
64,27,61,50,0.5,80,19.5,0.8,0,0,18.8,28,0.31,5.2,,,,
65,28,60,45,0.47,40,17.3,0.7,0,3.5,18.7,30,0.33,4.8,,,,
76,39,61,50,0.4,58,19.8,0.9,23,2,15.5,26,0.26,4.2,,,,
65,28,67,40,0.5,52,23,1.1,0,3.5,16.8,44,0.28,3,,,,
66,29,57,45,0.53,70,19.7,0.9,0,0,17.8,40,0.3,4,,,,
66,29,60,40,0.37,50,15.7,0.8,0,3.2,17.8,24,0.32,5.3,,,,
65,28,63,30,0.5,77,17.3,0.8,0,2.8,17.8,35,0.32,2,,,,
68,31,56,30,0.4,68,21.5,0.9,0,3.3,17.7,46,0.28,5.8,,,,
67,30,59,45,0.5,75,20.5,1.1,0,1.8,18.8,49,0.3,4.8,,,,
90,53,67,50,0.67,65,20.8,0.9,30,3.3,18.5,45,0.31,3.7,,,,
64,27,62,30,0.53,73,19.3,0.9,20,1.7,16.5,36,0.31,3.2,,,,
67,30,68,40,0.57,53,24.2,0.9,28,4.3,21,39,0.31,5.3,,,,
66,29,67,50,0.47,95,24.8,1.2,20,2.5,18.8,39,0.3,2.8,,,,
65,28,57,55,0.5,62,16.8,0.9,0,0,18.3,43,0.3,4,,,,
64,27,62,50,0.53,45,18.7,1,22,2,16.8,37,0.3,5,,,,
67,30,45,30,0.47,67,21.7,0.7,0,0,12.2,26,0.3,1.2,,,,
66,29,63,35,0.43,63,20,0.8,18,2.7,19.8,41,0.32,4.7,,,,
66,29,66,40,0.43,33,16.5,0.6,22,4.2,17.3,20,0.35,6.8,,,,
71,34,72,50,0.4,63,20.2,0.8,18,3.5,21.3,27,0.3,6.2,,,,
67,30,63,45,0.53,55,18,0.7,0,1,18.2,37,0.35,3,,,,
89,52,70,45,0.53,60,22.5,0.8,13,1.3,19.8,29,0.3,5.7,,,,
73,36,71,50,0.53,78,27.7,1.2,0,1.2,21.7,55,0.25,6,,,,
71,34,64,40,0.43,57,19.8,0.9,0,2.7,18.7,41,0.3,4.3,,,,
75,38,59,45,0.47,60,17.8,0.9,0,0,18.7,24,0.3,6.5,,,,
65,28,66,40,0.57,47,22.5,0.9,0,0,19.7,44,0.27,5,,,,
65,28,54,40,0.47,67,17.7,0.7,0,2.3,16,35,0.25,3.7,,,,
84,47,79,50,0.47,73,20.5,0.9,0,1,21.7,47,0.3,2.7,,,,
67,30,75,50,0.5,63,23.8,1.1,20,4.3,20,52,0.3,3.8,,,,
66,29,66,45,0.4,47,17,1,0,6.2,17.7,26,0.33,4.7,,,,
